tag,descripcion,sI/NO
P#LS0313_LTCB72,NIVEL 1 TORTA P45 H0,
P#LS0313_LTCB73,NIVEL 2 TORTA P45 H0,
P#LS0714_LTEB70,NIVEL ANION A-11,
P#LS0714_LTEA70,NIVEL ANION A-9,
P#LS3319_LTAM74,NIVEL ANIÓN GRUPO 10,
P#LS0431_LTMC71,NIVEL ANIÓN GRUPO 4,
P#LS0431_LTFK73,NIVEL ANIÓN GRUPO 4,
P#LS3314_LTAE75,NIVEL ANIÓN GRUPO 5,
P#LS0323_LTFC71,NIVEL ANIÓN GRUPO 6,
P#LS0323_LTFD70,NIVEL ANIÓN GRUPO 7,
P#LS0323_LTFE70,NIVEL ANIÓN GRUPO 8,
P#LS0842_LTAC89,NIVEL AUX. CRISTALIZAD VERTICAL,
P#LC0900_LVBF70,NIVEL BALSA TITANIC AH (OUT),
P#LC0900_LTBF70,NIVEL BALSA TITANIC AH (PV),
P#LE3009_LTBE70,NIVEL BALSA TITÁNIC AZÚCARES,
P#LS0313_LTCB70,NIVEL BARCA,
P#LS0422_LTDB70,NIVEL BARCA P45 M2 GLUCOSA,
P#LS0417_TTDR70,NIVEL C1,
P#LS0843_LTBA70,NIVEL CANAL ALIM TURBINAS DX,
P#LS0714_LTEB74,NIVEL CATION C-11,
P#LS0714_LTEA74,NIVEL CATION C-9,
P#LS3319_LTAM70,NIVEL CATIÓN GRUPO 10,
P#LS0431_LTFK71,NIVEL CATIÓN GRUPO 4,
P#LS3314_LTAE71,NIVEL CATIÓN GRUPO 5,
P#LS0323_LTFC72,NIVEL CATIÓN GRUPO 6,
P#LS0323_LTFD71,NIVEL CATIÓN GRUPO 7,
P#LS0323_LTFE71,NIVEL CATIÓN GRUPO 8,
P#LE0716_LTAC72,NIVEL CB RECUP SALES GLUC/MLE,
P#LS0422_LTDH70,NIVEL CB RECUP TIERRA P45 GL,
P#LS0313_LTCE70,NIVEL CB RECUP TIERRAS P45 H0,
P#LS0528_EI100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº10,
P#LS0528_EJ100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº11,
P#LS0528_EK100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº12,
P#LS0528_EL100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº13,
P#LS0528_EP100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº17,
P#LS0528_EQ100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº18,
P#LS0528_ER100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº19,
P#LS0528_ES100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº20,
P#LS0528_ET100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº21,
P#LS0528_EU100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº22,
P#LS0528_EV100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº23,
P#LS0528_EX100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº24,
P#LS0328_EG100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº7,
P#LS0328_EH100_TCO_STK,NIVEL CISTERNA GLUCOSA Nº8,
P#LS0511_LTAN70,NIVEL COLUMNAS PASAJE D.C.,
P#LC0900_DTBE73,NIVEL CONTAMINACION ETAR,
P#LS0841_LTAD70,NIVEL CRISTALIZADOR HORIZONTAL 1,
P#LS0841_LTAE70,NIVEL CRISTALIZADOR HORIZONTAL 2,
P#LS0841_LTAF70,NIVEL CRISTALIZADOR HORIZONTAL 3,
P#LS0841_LTAG70,NIVEL CRISTALIZADOR HORIZONTAL 4,
P#LS0841_LTAH70,NIVEL CRISTALIZADOR HORIZONTAL 5,
P#LS0842_LTAC88,NIVEL CRISTALIZADOR VERTICAL,
P#LS0510_LTAB70,NIVEL CUBA 8M3,
P#LS0326_LTHB71,NIVEL CUBA A,
P#LS0511_LTAL71,NIVEL CUBA ALIM 2ª TUYERE DC,
P#LS0511_LTAE70,NIVEL CUBA ALIMENTACION DC,
P#LS0510_LTAA70,NIVEL CUBA ALMIDON 20M3,
P#LS0326_LTHC71,NIVEL CUBA B,
P#LS0326_HB100_TCO_STK,"NIVEL CUBA BASE ""A""",
P#LS0326_HC100_TCO_STK,"NIVEL CUBA BASE ""B""",
P#LS0326_HD100_TCO_STK,"NIVEL CUBA BASE ""C""",
P#LS0326_HE100_TCO_STK,"NIVEL CUBA BASE ""D""",
P#LS0326_HF100_TCO_STK,"NIVEL CUBA BASE ""E""",
P#LS0526_HU100_TCO_STK,"NIVEL CUBA BASE ""K""",
P#LS0326_HY100_TCO_STK,"NIVEL CUBA BASE ""N""",
P#LS0326_LTHY70,NIVEL CUBA BASE N,
P#LS0326_LTHD71,NIVEL CUBA C,
P#LS0417_LTDP70,NIVEL CUBA C5,
P#LS0300_LTBB70,NIVEL CUBA CONDENSADOS CTO MLE,
P#LS0326_LTHE71,NIVEL CUBA D,
P#LS0326_LTHF71,NIVEL CUBA E,
P#LS3334_LT19271,NIVEL CUBA E06,
P#LS3334_LTBF70,NIVEL CUBA E06,
P#LS0512_LTBL70,NIVEL CUBA ENZIMÁTICA E-19,
P#LS0512_LTBC70,NIVEL CUBA ENZIMATICA Nº10,
P#LS0512_LTBD70,NIVEL CUBA ENZIMATICA Nº11,
P#LS0512_LTBE70,NIVEL CUBA ENZIMATICA Nº12,
P#LS0512_LTBF70,NIVEL CUBA ENZIMATICA Nº13,
P#LS0521_LTBI70,NIVEL CUBA ENZIMATICA Nº14,
P#LS0521_LTBJ70,NIVEL CUBA ENZIMATICA Nº15,
P#LS0512_LTBI70,NIVEL CUBA ENZIMATICA Nº16,
P#LS0512_LTBJ70,NIVEL CUBA ENZIMATICA Nº17,
P#LS0512_LTBK70,NIVEL CUBA ENZIMATICA Nº18,
P#LS0521_LTBB70,NIVEL CUBA ENZIMATICA Nº2,
P#LS0512_LTBO70,NIVEL CUBA ENZIMATICA Nº20,
P#LS0521_LTBC70,NIVEL CUBA ENZIMATICA Nº3,
P#LS0521_LTBD70,NIVEL CUBA ENZIMATICA Nº4,
P#LS0521_LTBE70,NIVEL CUBA ENZIMATICA Nº5,
P#LS0521_LTBF70,NIVEL CUBA ENZIMATICA Nº6,
P#LS0521_LTBG70,NIVEL CUBA ENZIMATICA Nº7,
P#LS0512_LTBA70,NIVEL CUBA ENZIMATICA Nº8,
P#LS0512_LTBB70,NIVEL CUBA ENZIMATICA Nº9,
P#LS0326_LTHG73,NIVEL CUBA F,
P#LS0522_NFP45G,NIVEL CUBA FILTRACION P45 M2 GL,
P#LS0513_NFP45H,NIVEL CUBA FILTRACION P45M2 H0,
P#LS0326_LTHH73,NIVEL CUBA G,
P#LS0326_KMEZ1_TCO_STK,NIVEL CUBA G MEZCLAS GLUCOSA,
P#LS0422_LTDI70,NIVEL CUBA G0,
P#LS0323_LTFA70,NIVEL CUBA G-2,
P#LS04460.LT28170,NIVEL CUBA H,
P#LS0335_LTFA70,NIVEL CUBA H,
P#LS0314_LTEG70,NIVEL CUBA H03 (SDA GRUPOS H0),
P#LS0450_LTBB70,NIVEL CUBA H1,
P#LS0450_LTBC70,NIVEL CUBA H2,
P#LS0450_LTAA70,NIVEL CUBA H3,
P#LS0450_LTAB70,NIVEL CUBA H4,
P#LS0326_LTHJ70,NIVEL CUBA I,
P#LS0326_KMEZ4_TCO_STK,NIVEL CUBA I MEZCLAS GLUCOSA,
P#LS0326_LTHI70,NIVEL CUBA J,
P#LS0326_KMEZ2_TCO_STK,NIVEL CUBA J MEZCLAS GLUCOSA,
P#LS0526_LTCH70,NIVEL CUBA K,
P#LS0430_LTAB70,NIVEL CUBA M1B,
P#LS0633_LTBI71,NIVEL CUBA M21-2,
P#LS0430_LTHE70,NIVEL CUBA M7,
P#LS0511_LTAH70,NIVEL CUBA MEZCLA,
P#LS0326_LTAC70,NIVEL CUBA PEQUEÑAS AGUAS,
P#LS0624_LTBJ70,NIVEL CUBA RECUP. NIAG. GL,
P#LS0541_LTAI70,NIVEL CUBA SALIDA CRIST.HORIZ.,
P#LS0843_LTCA70,NIVEL CUBA SALIDA TURBINAS,
P#LS0326_LTGG70,NIVEL CUBA SDF,
P#LS0326_GG100_TCO_STK,NIVEL CUBA SDF,
P#LS0303_LTAQ70,NIVEL CUBA SOSA DILUIDA,
P#LS0434_LTCA70,NIVEL CUBA STOCK Nº1 MLE,
P#LS0434_LTCJ70,NIVEL CUBA STOCK Nº10 MLE,
P#LS0434_LTCK70,NIVEL CUBA STOCK Nº11 MLE,
P#LS0434_LTCB70,NIVEL CUBA STOCK Nº2 MLE,
P#LS0434_LTCC70,NIVEL CUBA STOCK Nº3 MLE,
P#LS0434_LTCD70,NIVEL CUBA STOCK Nº4 MLE,
P#LS0434_LTCE70,NIVEL CUBA STOCK Nº5 MLE,
P#LS0434_LTCF70,NIVEL CUBA STOCK Nº6 MLE,
P#LS0434_LTCG70,NIVEL CUBA STOCK Nº7 MLE,
P#LS0434_LTCI70,NIVEL CUBA STOCK Nº9 MLE,
P#LE3001_LTAI70,NIVEL CUBA TAMPON EDAR,
P#LS0415_LTER70,NIVEL CUBA TIERRAS NIAGARA H0,
P#LS0624_LTFJ70,NIVEL CUBA TIERRAS NIAGARAS GLUC,
P#LS0313_LTER70,NIVEL CUBA TIERRAS P45 H0,
P#LS1727_LTHM70,NIVEL CUBA W10 1,
P#LS1727_LTHM71,NIVEL CUBA W10 2,
P#LE0716_LTAC74,NIVEL CUBAS CMA RECUP SALES SEP,
P#LS0300_LTEW70,NIVEL CUBETA RECUP. ZONA W7,
P#LS0325_LTCG73,NIVEL CUERPO 3 W8,
P#LS0327_LTHL70,NIVEL CUERPO EVAPORADOR W7,
P#LS04245.LTDA70,NIVEL DC H CANAL SDA CRIST,
P#LS0521_LTBA70,NIVEL E1,
P#LS0335_LTFB70,NIVEL FB0,
P#LS0331_LTFJ70,NIVEL FB1,
P#LS0306_LTFM70,NIVEL FB2,
P#LS0333_LTFO70,NIVEL FB3,
P#LS0327_LTHL75,NIVEL FLASH EVAPORADOR W7,
P#LS1727_LTHP85,NIVEL FLASH Nº1 W-10,
P#LS1727_LTHP77,NIVEL FLASH Nº2 W-10,
P#LS0422_LTDC71,NIVEL FLASH P45 GLUCOSA,
P#LS0313_LTCF71,NIVEL FLASH PRECOAT 45 H0,
P#LS0511_LTAP70,NIVEL FLASH SDA D.C.,
P#LE3012_LTBG70,NIVEL FOSO AGUAS RESID. ALMIDON,
P#LS0300_LTBA70,NIVEL FOSO AGUAS RESIDUALES,
P#LE3016_LTAT95,NIVEL FOSO PIERALISI,
P#LS04205.LTGD70,NIVEL G1,
P#LS0422_LTDD70,NIVEL G1,
P#LS0623_LTFF70,NIVEL G3,
P#LS0432_LTAG70,NIVEL G3 ALIM TORRE NEGRO,
P#LS0324_LTFH70,NIVEL G4,
P#LS0624_LTFL70,NIVEL G5,
P#LS0432_LTAJ70,NIVEL G6,
P#LS0325_LTCB70,NIVEL G8/G9,
P#LS0314_LTCI70,NIVEL H02,
P#LS0714_LTCJ70,NIVEL H02A,
P#LS0415_LTEI70,NIVEL H04,
P#LS0415_LTEM70,NIVEL H05,
P#LS0415_LTEP70,NIVEL H06,
P#LS0716_LTDA70,NIVEL H07,
P#LE3216_LTAE73,NIVEL INFERIOR 2 CUERPO SALES,
P#LS0843_LTBA71,NIVEL IZQ CANAL TURBINAS DX,
P#LS04245.LTDA71,NIVEL IZQ NIVEL CANAL SDA CRIST,
P#LS3329_LTBC70,NIVEL LM4,
P#LS0633_LTBH70,NIVEL M 21 1,
P#LS0436_LTBB70,NIVEL M10,
P#LS0436_LTBE72,NIVEL M11,
P#LS0331_LTFL70,NIVEL M1-A,
P#LS0430_LTHB70,NIVEL M2,
P#LS0431_LTAA72,NIVEL M3,
P#LS0431_LTAF70,NIVEL M5,
P#LS0540_LTLS73,NIVEL MEMBRANA SWENSON,
